Category,Subcategory,Item,,,
Software Development Practices,-,DevOps (CI/CD: Jenkins, GitHub Actions),,
Software Development Practices,-,Test-Driven Development (TDD),,,
Software Development Practices,-,Git & Version Control,,,
Software Development Practices,-,Microservices Architecture,,,
Software Development Practices,-,RESTful & GraphQL APIs,,,
Software Development Practices,-,OOP & Functional Programming,,,
AI & Machine Learning,-,Supervised & Unsupervised Learning,,,
AI & Machine Learning,-,Deep Learning (CNNs, RNNs, Transformers),
AI & Machine Learning,-,Reinforcement Learning,,,
AI & Machine Learning,-,NLP (BERT, GPT, LLMs),
AI & Machine Learning,-,Computer Vision (YOLO, OpenCV),,
AI & Machine Learning,-,AI Ethics & Bias,,,
Cloud Computing,-,AWS (EC2, S3, Lambda, RDS)
Cloud Computing,-,Azure (VMs, Blob Storage, Functions),
Cloud Computing,-,Google Cloud (Compute Engine, BigQuery),,
Cloud Computing,-,Serverless Computing,,,
Cloud Computing,-,Cloud-Native Development,,,
Game Development & Graphics,-,OpenGL / Vulkan,,,
Game Development & Graphics,-,DirectX,,,
Game Development & Graphics,-,WebGL / Three.js,,,
Game Development & Graphics,-,Shader Programming (GLSL, HLSL),,
Blockchain & Web3,-,Solidity (Ethereum Smart Contracts),,,
Blockchain & Web3,-,Web3.js / Ethers.js,,,
Blockchain & Web3,-,Blockchain Protocols (Bitcoin, Solana),,
Blockchain & Web3,-,NFT & DeFi Development,,,
Quantum Computing (Emerging Field),-,Qiskit (IBM),,,
Quantum Computing (Emerging Field),-,Cirq (Google),,,
Soft Skills & Other,-,Problem-Solving (LeetCode, Codeforces),,
Soft Skills & Other,-,System Design,,,
Soft Skills & Other,-,Debugging & Profiling,,,
Soft Skills & Other,-,Technical Writing,,,
Soft Skills & Other,-,Open Source Contribution,,,
